Keyword,Grade/Area,,,,,,
Religion,General Intro,"Mentioned as a discipline of social studies - ""Beyond the work completed by other states and organizations, the development of this document was greatly influenced by input from Alabamians from different regions, vocations, racial and ethnic groups, political orientations, and religious affiliations.""",,,,,
Religion,Grade 7 / World History and Geography: Geographic Principles and Ancient Civilizations,"Ancient Civilizations in the Mediterranean 8a. Identify the central tenets of Judaism, and compare Judaism to the polytheistic religions of other Mediterranean ancient civilizations.",,,,,
Religion,Grade 7 / World History and Geography: Geographic Principles and Ancient Civilizations,"Ancient Civilizations in the Americas and Africa 9b. Describe common tenets of indigenous religion practiced in Africa, including the beliefs of the Ashanti, Dogon, and Igbo religious traditions.","Ancient Civilizations in the Americas and Africa 10c. Describe how religion, architecture, and politics intersected in early Indigenous civilizations, including the Maya civilization.",,,,
Religion,Grade 7 / World History and Geography: Geographic Principles and Ancient Civilizations,"Ancient and Classical Civilizations in Asia 13d. Analyze how the establishment of the Silk Road fostered economic and cultural development across multiple continents. Examples: cultural exchange, dissemination of religion, Mogao Caves, monopoly",,,,,
Religion,Grade 8 / World History and Geography: Middle Ages to Age of Revolution,"Effects of the Fall of Rome 2b. Evaluate the cultural contributions of the Byzantines to art, religion, and architecture.",,,,,
Religion,Grade 8 / World History and Geography: Middle Ages to Age of Revolution,"Medieval Societies 4c. Analyze the evolution of religion in Asia, including the growth of Buddhism, Hinduism, Jainism, and Sikhism.","Medieval Societies 5. Compare the African kingdoms of Ghana, Mali, and Songhai, including cultures, economic systems, geography, religions, and slave trade.","Medieval Societies 5b. Trace the spread of culture, language, and religion among African civilizations.","Medieval Societies 5b. Trace the spread of culture, language, and religion among African civilizations.",,
Religion,Grade 8 / World History and Geography: Middle Ages to Age of Revolution,Rise of Absolutism 16b. Explain the effects of religion on Japanese society and politics.,,,,,
Religion,Grade 8 / World History and Geography: Middle Ages to Age of Revolution,"Enlightenment and the Scientific Revolution 17. Analyze the influence of the Scientific Revolution on European religion and society, including the astronomical theories of Nicolaus Copernicus and Galileo Galilei.",,,,,
Religious,Grade 6 / Making A New Nation,"Colonization of North America 2. Compare and contrast the reasons for British, French, and Spanish colonization in North America as well as why individuals migrated to the colonies, including mercantilism, religious persecution, poverty, oppression, and new opportunities.",,,,,
Religious,Grade 6 / Making A New Nation,Colonization of North America 5. Explain how the desire for religious freedom served as a motivation for establishing colonies.,"Colonization of North America 5a. Summarize efforts to limit religious freedom in the colonies. Examples: established churches, Maryland Toleration Act, Requerimiento, Rhode Island and religious exile, Salem Witch Trials",Colonization of North America 5b. Describe the contributions of colonists in bringing about religious change in colonial society.,"Colonization of North America 5c. Explain the influence of the Great Awakening on colonial society, including how it shaped the political beliefs of colonists. Examples: emotion v. reason, George Whitefield, religious liberty, revivals",,
Religious,Grade 6 / Making A New Nation,"The American Government 17. Explain key rights included in the Bill of Rights and provide examples of how citizens exercise these rights in today s society. Examples: freedom of speech, religion, and assembly; right to counsel",,,,,
Religious,Grade 6 / Making A New Nation,"Government in a New Nation 19. Analyze the election and presidency of George Washington for its impact on establishing the role of president in the United States, including the creation of the first Cabinet, establishment of the District of Columbia, commitment to religious freedom (Letter to the Hebrew Congregation at Newport), and the two-term precedent.",,,,,
Religious,Grade 7 / World History and Geography: Geographic Principles and Ancient Civilizations,Ancient Civilizations in the Greater Mediterranean 7c. Summarize the social structure and religious beliefs of ancient Egypt.,,,,,
Religious,Grade 7 / World History and Geography: Geographic Principles and Ancient Civilizations,Ancient and Classical Civilizations in Asia 12a. Summarize how Hinduism as well as a caste system emerged from different religious beliefs and schools of philosophy.,,,,,
