0,1,2,3,4
West Virginia ,no_content,,,
Keyword,Grade/Area,, ,  +++  
Religion/Religious,7,Grade 7,SS.7.17: ,Demonstrate an understanding of the ancient civilizations. Identify the leaders and distinguish the basic principles and philosophies of the major religions in the world as they emerged and expanded.
Spirit/spiritual,no_content,,,
Holiday,no_content,,,
Christian/Christmas/Christianity,no_content,,,
Muslim/Islam/Ramadan,no_content,,,
Jew/Judaism/Hanukkah/Holocaust,no_content,,,
Hinduism,no_content,,,
Buddhism,no_content,,,
Sikhism,no_content,,,
Mormon,no_content,,,
Kwanzaa,no_content,,,
Genocide,no_content,,,
Persecution,no_content,,,
Church,no_content,,,
Mosque,no_content,,,
Temple,no_content,,,
Synagogue,no_content,,,
Pilgrim/pilgrimage,no_content,,,
Mission/Missionary/missionaries,no_content,,,
shaman,no_content,,,
god,no_content,,,
theocracy,7,Civics,SS.7.1,"Classify and compare various forms of government through the Age of Imperialism (e.g., democracy, republic, absolute monarchy, constitutional monarchy, oligarchy, dictatorship, theocracy and parliamentary system)"
theology,no_content,,,
Holi,no_content,,,
Holy,no_content,,,
Bahai,no_content,,,
Confucianism,no_content,,,
Tao,no_content,,,
Lao Tzu,no_content,,,
Zoroastrianism,no_content,,,
Shintoism,no_content,,,
Jainism,no_content,,,
Diwali,no_content,,,
Hebrew,no_content,,,
Israel/Israelite,no_content,,,
antisemitism,no_content,,,
Catholic,no_content,,,
Protestant,no_content,,,
